entry_id,race_no,run_on,horse_id,horse_name,distance_f,going,weight_kg,finish_position,placed
105,19,2026-04-30,5,Marigold,5,firm,58.6,5,0
106,19,2026-04-30,6,Thistledown,5,firm,56.2,6,0
107,20,2026-05-06,9,Hazelnut,5,soft,56.0,1,1
108,20,2026-05-06,5,Marigold,5,soft,61.2,2,1
109,20,2026-05-06,2,Bramble,5,soft,60.1,3,1
110,20,2026-05-06,1,Copperfield,5,soft,56.9,4,0
111,21,2026-05-12,9,Hazelnut,6,firm,61.4,1,1
112,21,2026-05-12,2,Bramble,6,firm,59.2,2,1
113,21,2026-05-12,10,Quickthorn,6,firm,60.5,3,1
114,21,2026-05-12,3,Silvermane,6,firm,60.3,4,0
115,21,2026-05-12,1,Copperfield,6,firm,58.3,5,0
116,22,2026-05-18,2,Bramble,5,firm,52.9,1,1
117,22,2026-05-18,9,Hazelnut,5,firm,57.3,2,1
118,22,2026-05-18,4,Dobbin,5,firm,60.0,3,1
119,22,2026-05-18,10,Quickthorn,5,firm,58.3,4,0
120,22,2026-05-18,1,Copperfield,5,firm,60.0,5,0
121,23,2026-05-24,5,Marigold,14,good,55.9,1,1
122,23,2026-05-24,6,Thistledown,14,good,58.1,2,1
123,23,2026-05-24,3,Silvermane,14,good,60.5,3,1
124,23,2026-05-24,1,Copperfield,14,good,56.3,4,0
125,23,2026-05-24,7,Pennywhistle,14,good,58.4,5,0
126,23,2026-05-24,2,Bramble,14,good,55.8,6,0
127,23,2026-05-24,9,Hazelnut,14,good,58.8,7,0
128,24,2026-05-30,2,Bramble,8,soft,61.4,1,1
129,24,2026-05-30,5,Marigold,8,soft,60.3,2,1
130,24,2026-05-30,7,Pennywhistle,8,soft,58.1,3,1
131,24,2026-05-30,3,Silvermane,8,soft,60.6,4,0
132,24,2026-05-30,1,Copperfield,8,soft,59.6,5,0
133,25,2026-06-05,2,Bramble,5,heavy,62.1,1,1
134,25,2026-06-05,10,Quickthorn,5,heavy,54.7,2,1
135,25,2026-06-05,6,Thistledown,5,heavy,53.8,3,1
136,25,2026-06-05,5,Marigold,5,heavy,55.1,4,0
137,26,2026-06-11,3,Silvermane,14,heavy,57.5,1,1
138,26,2026-06-11,6,Thistledown,14,heavy,60.8,2,1
139,26,2026-06-11,10,Quickthorn,14,heavy,53.3,3,1
140,26,2026-06-11,5,Marigold,14,heavy,59.8,4,0
141,26,2026-06-11,1,Copperfield,14,heavy,54.5,5,0
142,27,2026-06-17,6,Thistledown,14,good,55.1,1,1
143,27,2026-06-17,1,Copperfield,14,good,55.0,2,1
144,27,2026-06-17,10,Quickthorn,14,good,56.5,3,1
145,27,2026-06-17,2,Bramble,14,good,54.8,4,0
146,28,2026-06-23,2,Bramble,5,heavy,57.5,1,1
147,28,2026-06-23,5,Marigold,5,heavy,62.8,2,1
148,28,2026-06-23,6,Thistledown,5,heavy,59.4,3,1
149,28,2026-06-23,10,Quickthorn,5,heavy,62.7,4,0
150,29,2026-06-29,3,Silvermane,10,heavy,58.4,1,1
151,29,2026-06-29,5,Marigold,10,heavy,59.4,2,1
152,29,2026-06-29,1,Copperfield,10,heavy,57.8,3,1
153,29,2026-06-29,10,Quickthorn,10,heavy,58.7,4,0
154,29,2026-06-29,9,Hazelnut,10,heavy,61.4,5,0
155,29,2026-06-29,6,Thistledown,10,heavy,57.4,6,0
156,29,2026-06-29,2,Bramble,10,heavy,55.6,7,0
157,30,2026-07-05,3,Silvermane,10,heavy,61.2,1,1
158,30,2026-07-05,4,Dobbin,10,heavy,57.3,2,1
159,30,2026-07-05,10,Quickthorn,10,heavy,57.8,3,1
160,30,2026-07-05,1,Copperfield,10,heavy,60.0,4,0
161,31,2026-07-11,5,Marigold,6,firm,55.7,1,1
162,31,2026-07-11,3,Silvermane,6,firm,60.6,2,1
163,31,2026-07-11,2,Bramble,6,firm,60.1,3,1
164,31,2026-07-11,10,Quickthorn,6,firm,55.9,4,0
165,32,2026-07-17,2,Bramble,6,firm,57.3,1,1
166,32,2026-07-17,7,Pennywhistle,6,firm,62.9,2,1
167,32,2026-07-17,9,Hazelnut,6,firm,58.4,3,1
168,32,2026-07-17,5,Marigold,6,firm,58.0,4,0
169,32,2026-07-17,3,Silvermane,6,firm,59.1,5,0
170,32,2026-07-17,4,Dobbin,6,firm,53.3,6,0
171,32,2026-07-17,6,Thistledown,6,firm,61.9,7,0
172,33,2026-07-23,1,Copperfield,5,soft,56.3,1,1
173,33,2026-07-23,7,Pennywhistle,5,soft,59.6,2,1
174,33,2026-07-23,5,Marigold,5,soft,54.1,3,1
175,33,2026-07-23,3,Silvermane,5,soft,64.1,4,0
176,33,2026-07-23,9,Hazelnut,5,soft,54.3,5,0
177,33,2026-07-23,6,Thistledown,5,soft,53.4,6,0
178,33,2026-07-23,4,Dobbin,5,soft,56.5,7,0
179,34,2026-07-29,2,Bramble,5,heavy,55.9,1,1
180,34,2026-07-29,4,Dobbin,5,heavy,55.2,2,1
181,34,2026-07-29,5,Marigold,5,heavy,56.9,3,1
182,34,2026-07-29,3,Silvermane,5,heavy,58.9,4,0
183,34,2026-07-29,9,Hazelnut,5,heavy,59.5,5,0
184,34,2026-07-29,6,Thistledown,5,heavy,59.7,6,0
185,34,2026-07-29,1,Copperfield,5,heavy,64.3,7,0
186,35,2026-08-04,5,Marigold,10,good,54.8,1,1
187,35,2026-08-04,4,Dobbin,10,good,55.4,2,1
188,35,2026-08-04,9,Hazelnut,10,good,59.6,3,1
189,35,2026-08-04,1,Copperfield,10,good,55.1,4,0
190,35,2026-08-04,10,Quickthorn,10,good,57.6,5,0
191,35,2026-08-04,2,Bramble,10,good,57.4,6,0
192,35,2026-08-04,6,Thistledown,10,good,58.9,7,0
193,36,2026-08-10,10,Quickthorn,8,soft,50.8,1,1
194,36,2026-08-10,1,Copperfield,8,soft,60.2,2,1
195,36,2026-08-10,2,Bramble,8,soft,60.3,3,1
196,36,2026-08-10,3,Silvermane,8,soft,58.5,4,0
197,36,2026-08-10,4,Dobbin,8,soft,52.6,5,0
198,37,2026-08-16,7,Pennywhistle,12,heavy,60.1,1,1
199,37,2026-08-16,9,Hazelnut,12,heavy,61.0,2,1
200,37,2026-08-16,5,Marigold,12,heavy,55.0,3,1
201,37,2026-08-16,2,Bramble,12,heavy,51.5,4,0
202,38,2026-08-22,9,Hazelnut,14,heavy,59.6,1,1
203,38,2026-08-22,10,Quickthorn,14,heavy,59.6,2,1
204,38,2026-08-22,2,Bramble,14,heavy,55.0,3,1
205,38,2026-08-22,1,Copperfield,14,heavy,54.5,4,0
206,39,2026-08-28,5,Marigold,5,firm,50.6,1,1
207,39,2026-08-28,9,Hazelnut,5,firm,59.9,2,1
208,39,2026-08-28,3,Silvermane,5,firm,54.2,3,1
209,39,2026-08-28,4,Dobbin,5,firm,53.1,4,0
210,40,2026-09-03,9,Hazelnut,10,good,59.1,1,1
211,40,2026-09-03,1,Copperfield,10,good,55.4,2,1
212,40,2026-09-03,3,Silvermane,10,good,59.3,3,1
213,40,2026-09-03,7,Pennywhistle,10,good,53.4,4,0
214,40,2026-09-03,6,Thistledown,10,good,58.2,5,0
41,7,2026-02-17,7,Pennywhistle,12,firm,60.9,6,0
42,7,2026-02-17,2,Bramble,12,firm,55.1,7,0
9001,9,2026-03-01,3,Silvermane,5,soft,63.8,3,1
